id,bws,predicted,sentence
3270,0.684,2.083283348289006,That really nice fellow works in a clothing factory sewing zippers on jeans . That is good . He would n't hurt a fly .
2986,0.613,1.264789764360685,Two pencils decided to have a race . The outcome was a draw .
1924,0.613,1.1490641486718713,Those who make sponges get very absorbed in their work .
2555,0.607,0.21643611412452712,Bill Gates took advantage of his Windows of opportunity
3274,0.593,0.5086611405341472,"A sign at a cemetery reads , 'No Trespassing , Violators Will Face Grave Charges ' ."
490,0.586,0.704124998130484,"My mailman should be a comedian , his delivery is perfect !"
3995,0.574,0.8651163955290884,When the shocked IRS agent was found guilty of tax evasion he had to take time to collect himself .
2067,0.574,2.0270820842928927,"Waiter , there are pennies in my soup ! ''Well , sir , you said you 'd stop eating here if there was n't some change in the food . '' *"
1954,0.574,0.8856580315173438,Selling gasoline too cheaply would be fuelish .
2289,0.559,0.37461337047690846,The earless defendant waived his hearing .
734,0.559,1.3623360438221699,At the petting zoo I saw a sheep scratching itself . Turns out it had fleece .
239,0.556,1.4118763657716278,"I was going to buy a book on phobias , but I was afraid it would n't help me ."
1735,0.556,0.42746704799788904,A letter carrier career is a mail dominated profession .
3154,0.552,1.9720266911920021,She got fired from the hot dog stand for putting her hair in a bun .
1081,0.548,0.9186487737715278,His qualifications as a math teacher did n't add up .
2533,0.545,1.2185160628103187,He put so many blanks in his document that he started to feel spaced out .
2138,0.544,1.0968364798025225,"She was only a Dentist 's daughter , but everybody wanted to fill her cavity ."
2547,0.533,0.1440861786085507,You should never drink beyond the pint of no return .
433,0.525,1.2468428715162136,I used to hate maths but then I realised decimals have a point .
915,0.524,1.7298674196667032,"After 5 years with the same chiropractor , I moved and had to change doctors . It was quite an adjustment ."
2390,0.516,0.3340227073428847,Someone who sells old chess pieces is a pawn broker .
1728,0.509,1.299487100419332,A cat ate some cheese and waited for a mouse with baited breath .
2618,0.509,1.0729205489929126,When the air conditioning failed in the indoor stadium there was a fan protest .
2106,0.509,1.1522363499802188,"A boy told his parents he wanted to raise goats for a living , but he was only kidding ."
1805,0.5,0.98604789651367,The other day I held the door open for a clown . I thought it was a nice jester .
2939,0.5,0.9811347891295562,If you do n't know how to choose music ask a guitarist - they know how to pick .
2760,0.485,0.25283192931119575,What keeps a dock floating above water ? Pier pressure .
4011,0.483,0.7724830454308773,"OLD SHOEMAKERS never die , they just lose their sole ."
138,0.483,0.5630163277168054,"I wanted to join my local rambling club , but the guy I spoke to on the phone just went on and on ."
3526,0.483,0.7177572089901769,Tried some bear stew . It was a little grizzly .
81,0.481,0.6005679728033289,Why do n't people like to talk to garbage men ? They mostly talk trash .
3312,0.475,0.8239215809850978,When I suffered a groin injury I became quite testy .
1363,0.475,0.6591700123836574,Why do people preserve fruits and vegetables ? Because they 'can ' .
620,0.475,1.5195625590572472,"I started to work at a seafood buffet , but then I pulled a mussel ."
1024,0.475,1.653740949691838,A scientist doing a large experiment with liquid chemicals was trying to solve a problem when he fell in and became part of the solution .
2281,0.474,1.1405744638849113,"Waiter , there 's a fly in my soup ! ''No , sir , that is an essential bee vitamin . ''"
2820,0.474,0.2736307091528735,The man brought an umbrella with him into the ice cream store because he heard there was a chance of sprinkles .
3106,0.469,1.3292780340678323,The comedian stopped at the fabric store on his way to a comedy gig . He was looking for new material .
579,0.467,0.87668857873477,When longshoremen show up late for work they get docked .
927,0.467,1.627076945491838,"He worked in a chocolate factory , but always took his sweet time ."
2234,0.467,1.2771671359640044,Why are all businessmen fat ? Must be all the inflation .
2282,0.467,0.5922454144118485,"I am not 40 , I 'm 18 with 22 years experience"
3568,0.464,0.906334871985332,"I went to the theatre , it looked a bit suspicious . I reckon the whole thing was staged ."
2649,0.464,-0.22579567602097333,OLD GOLFERS never die they just putter away .
597,0.462,1.1996796109103105,"An old lady once asked the dispatcher of a local trucking company if they could ship an antique mirror to her sister in Toronto . The dispatcher says , ' I do n't know madam , I 'd have to look into it first ' ."
1960,0.46,0.36436967108845325,Insomnia is n't anything to lose sleep over .
1790,0.452,0.7206730443636745,It was an emotional wedding . Even the cake was in tiers .
2843,0.452,0.22569125373302104,The careless pyromaniac made an ash of himself .
1998,0.452,1.3990246993248951,A doctor drank while putting on patients ' casts . He was soon plastered .
1638,0.452,0.13089777788045615,"OLD ALCOHOLICS never die , they just lose their spirit ."
1496,0.448,0.478427831785744,If you do n't pay your exorcist you get repossessed .
403,0.448,1.18693378982602,Cats are smarter than dogs ... You wo n't see eight cats pulling a sled .
576,0.444,1.398597879096123,I trained my dog to hunt for underground mushrooms but now he 's more truffle than he 's worth .
1591,0.443,0.277193007195288,OLD HUMAN CANNONBALLS never die they just get fired .
3179,0.443,0.7681065877173657,"My mate swallowed a cordless vacuum cleaner , they took him to hospital and he is picking up nicely ."
558,0.443,1.0025475730694553,When crazy glue was invented lots of people became attached to it .
2244,0.443,1.0223710553592344,Building a cul-de-sac would be a bit of a dead-end job .
2559,0.443,0.535096149125995,"OLD COUPON CLIPPERS never die , they just expire ."
940,0.439,1.2951191645937794,"Doctor , Doctor , my hair is coming out . What can you give me to keep it in ? - A cigar box . Next ."
2800,0.438,2.012434808975045,"If you wear a blindfold at the shooting range , you wo n't know what you 're missing ."
3777,0.433,-0.08135296301809024,Seven days without a pun makes one weak .
3250,0.433,0.9141925867519987,Some people still think that writing long stories is a novel idea .
3632,0.429,1.4910946732711108,"OLD SHOEMAKERS never die , they are just given the boot ."
1554,0.424,1.6735666004297376,The electricity was off and they could n't found out watt was the problem .
1850,0.424,1.7619445105809497,A logger went to his doctor because of a problem with the lumbar .
3634,0.419,0.6810183225726189,"Sign on a broken perfume bottle , `` Out of odor '' ."
1467,0.414,0.5723717350531485,Those who build roofs are so inclined .
2019,0.414,1.084183373721601,"OLD DIETICIANS never die , they just waist away"
135,0.414,1.2484852319245148,"Some clockmakers are normal , but others are a little cuckoo ."
644,0.414,0.7325397042320307,Practice safe eating – always use condiments .
3401,0.414,-0.0682164333287375,"OLD FORESTERS never die , they just pine away ."
3517,0.412,1.8367656953930296,"OLD TEACHERS never die , they just grade away"
2551,0.41,1.585562702698269,"I ca n't recall the last time I did any running , but I 've been jogging my memory ."
2592,0.41,0.04787704529112344,Sushi : known to the rest of the world as 'Bait '
3605,0.41,0.9005634699893867,"Soon after he joined the band , the guitarist was instrumental ."
1973,0.41,0.788246444823065,The groundskeeper at a large cemetery was important because he had 5000 people under him .
3228,0.406,0.5106024826629475,A chicken farmer 's favorite car is a coupe .
3958,0.406,1.3248279970816204,Meet me at the clothes line . That 's where I hang out !
2508,0.406,0.27615995672495186,There was a contest on a slippery rock slope . I won in a landslide .
1168,0.404,0.15940839149744504,If you 're a gardener you might call yourself a 'plant manager ' .
2405,0.404,0.9630603193441702,The whistling fisherman was always out of tuna .
1872,0.397,1.4740941158747467,It 's quiet in a bowling alley because you can hear a pin drop .
486,0.397,-0.27359551686159683,A truly wise man never plays leapfrog with a unicorn .
3907,0.396,0.8648740531284183,A locksmith has to have a good Combination of skills .
819,0.393,0.3723858936161338,"OLD PHOTOGRAPHERS never die , they just lose their focus ."
2788,0.39,1.598472985551679,"The duck said to the bartender , 'put it on my bill . '"
3328,0.39,1.0455120174979182,Two florists got married . It was an arranged marriage .
929,0.387,1.2083222894633348,There was once a cross-eyed teacher who could n't control his pupils .
3379,0.385,0.45161675348513386,Why was six afraid of seven ? Because seven eight nine .
594,0.385,0.7915136658098343,"She was always calling for her twins , `` on the double . ''"
641,0.379,0.40629792227417943,"OLD CARTOONISTS never die , they just draw their last breath ."
918,0.379,-0.20752473902023238,Old cotton-pickers never die . They just bale out .
2545,0.379,1.4090679015950065,"Doctor , doctor , people tell me I 'm a wheelbarrow . - Do n't let people push you around . Next ."
3868,0.377,1.030881136367289,The local baker was paying his staff based on a flourly rate .
2305,0.377,0.18147821744937076,The earliest mention of cars is in the Bible when Adam and Eve were driven out of the Garden of Eden .
255,0.377,1.1778727073071675,Hockey players are terrible chess players because they are always getting checked .
1965,0.375,1.341917260242762,A heavy drinker of hard liquor appears to be in high spirits .
42,0.375,1.3138369997380104,"She was only a Rancher 's daughter , but she could n't keep her calves together ."
2265,0.375,0.8268153395285972,"It was the first time she 'd seen a live sponge on display , and she really soaked it in ."
585,0.373,1.142864429839237,For class schedules Yoga instructors are flexible .
3508,0.37,-0.1758609861662596,"OLD SLAVS never die , they just czech out ."
2616,0.37,0.03667478569621714,ADVENTURE : The land between entertainment and panic .
3658,0.37,1.6468166450195656,"The calculus teacher tried to keep his students on task , but the class discussion kept going off on tangents ."
925,0.368,0.2552549039742459,A woman who became queen considered it her crowning achievement .
1919,0.368,0.0447086287062772,The Loch Ness monster eats fish and ships .
709,0.368,0.9360098684353964,He was facinated by his new welding job . It was riveting .
559,0.368,0.9060167653229132,Acupuncture is a jab well done .
3445,0.367,0.856359830317557,The carpenter was well-known for nailing his work .
3950,0.367,0.13021538907796765,"''We have no oranges , '' Tom said fruitlessly ."
1725,0.367,0.641769961156611,A cardboard belt would be a waist of paper .
2783,0.365,2.0055484441213087,"OLD ACADEMICIANS never die , they just lose their faculties"
2770,0.362,0.297164908854598,What if there were no hypothetical questions ?
3111,0.358,1.1342886437978226,He was a Red Cross donor until he went out of circulation .
764,0.356,-0.26855432553284875,A good carpenter will do his work and then varnish without a trace .
3039,0.356,1.1466630167517002,"For a while , Houdini used a lot of trap doors in his act , but he was just going through a stage ."
1371,0.356,0.7349525686973033,"I 've never taken an elevator to the basement floor , that 's just beneath me ."
2050,0.355,0.6532056111939575,"When I had my PlayStation stolen , my family were there to console me ."
1054,0.345,0.5655186285417448,The salt said 'hi ' to the pepper . It was seasonings greetings .
2383,0.345,0.30194716872809313,The male pig puts everyone to sleep . You could say he 's quite the boar .
1556,0.345,0.5246843946247635,Shepherds sometimes have staff meetings .
3149,0.345,1.407265997281801,The man who fell into an upholstery machine is fully recovered .
816,0.345,0.1173557272136061,"OLD BUS DRIVERS never die , they just take a turn for the worse ."
1051,0.344,0.8505298845567482,"The car stopped with a jerk , then the jerk got out ."
3859,0.344,0.6506634318889344,A chicken crossing the road is poultry in motion .
2802,0.344,1.3757365963023438,The man leaned on the printer cartridge because he wanted to tone up his abs .
3259,0.333,1.7544171275809746,He sat in the magician 's audience dressed as a cactus . He was a plant .
2294,0.333,1.1496184709183925,An artist with the military kept drawing enemy fire .
3898,0.333,0.5990325435253725,A politician with a bad back needs lots of support .
111,0.333,1.4229248690587664,The mortician was late for dinner because he was buried in his work .
1155,0.333,1.3756960144298975,Diets are for people who are thick and tired of it all .
1326,0.333,0.2133207842552377,"Doctor , Doctor , what would you take for this cold ? - Make me an offer . Next ."
1822,0.333,2.080836356842428,"She was only a Catcher 's daughter , but she had many balls bounce off her chin ."
3482,0.333,2.778021147784425,"I wanted to do some research on anorexia , so I went to the library to get the skinny ."
642,0.333,0.3684007470930244,A nudist has no reason to fear a pickpocket .
3918,0.323,0.04852409571924027,"OLD CARDIOLOGISTS never die , they just lose heart ."
704,0.322,1.9968927348800711,"I was going to study the work of Sigmund Freud , but I was too Jung to understand it ."
2812,0.322,0.4467138422516204,Sharks do n't eat lawyers . Professional courtesy .
2456,0.322,1.2658053816504549,There was a sale at the fish market today . I went to see what was the catch .
2439,0.322,2.2598027877630242,After having a knee dislocated and an elbow fractured in two barroom brawls Bradley should have learned to stay away from those joints .
344,0.321,0.7962261278917201,"Old electricians never die , they just keep plugging away ."
854,0.311,1.448212060641872,He only knew how to drive a fork lift in reverse . He was the backup man .
3169,0.311,-0.13445322300534274,OLD MAGICIANS never die they just disappear .
