id,bws,predicted,sentence
667,0.672,0.9917762000625608,"When the CEO dropped his brownie on the calculator , was he trying to fudge the numbers ?"
2453,0.667,0.29074975344880116,A church welcomed all denominations but preferred tens and twenties .
2624,0.667,0.43208705501712436,"When those around King Arthur 's table had insomnia , there were a lot of sleepless knights ."
3391,0.639,0.5811278082904714,Did you hear about the guy whose whole left side was cut off ? He 's all right now .
1045,0.633,0.6540654557942686,He bought a plate with four corners so he could have a square meal .
3576,0.631,0.7092877499607689,"Before a plumber retired , he took the final plunge ."
627,0.625,1.2483209742076586,"The dentist 's alibi was full of holes , so the police performed a cavity search ."
586,0.625,0.4843312965520009,What did the grape say when it got stepped on ? Nothing - but it let out a little whine .
3274,0.593,0.13284775879423183,"A sign at a cemetery reads , 'No Trespassing , Violators Will Face Grave Charges ' ."
346,0.587,0.3396715686917703,Never lie to an x-ray technician . They can see right through you .
3038,0.586,0.6949229193339351,"I finally found a spotter at the gym , it 's like a huge weight has been lifted off my shoulders ."
3204,0.571,0.6420955767640264,"She was only a Bricklayer 's daughter , but she was certainly stacked ."
2852,0.567,0.9599748409521504,OLD PILOTS never die they just go to a higher plane .
1887,0.567,1.152124073764512,"OLD ELECTRICIANS never die , they just ca n't make connections"
2241,0.564,0.8766645651798598,She became an art dealer because she wanted more Monet .
1735,0.556,0.24050945452359296,A letter carrier career is a mail dominated profession .
1042,0.552,0.3352157283190099,I keep reading 'The Lord of the Rings ' over and over . I guess it 's just force of hobbit .
3714,0.547,0.7227145989684582,"I saw a beaver movie last night , it was the best dam movie I 've ever seen ."
2138,0.544,1.1677296368228904,"She was only a Dentist 's daughter , but everybody wanted to fill her cavity ."
1096,0.531,-0.02955069076167649,"Power corrupts , especially at the electric company ."
748,0.527,0.8966106545471508,Some people really enjoy blowing air out of their lungs - I 'm not a fan myself .
184,0.524,1.0548551701250999,"When the waiter told me they were out of corn I said , 'That really shucks . '"
3400,0.524,0.23529329247611463,"Old programmers never die , they just ca n't C as well ."
2532,0.524,1.1832234788573677,I bought me some of those new paper shirts . I do n't like them - they 're tearable .
1843,0.524,0.17188256483131698,The painter was hospitalized due to too many strokes .
985,0.516,0.5098034852138519,I was struggling to figure out how lightning works then it struck me .
1728,0.509,0.39269562301257677,A cat ate some cheese and waited for a mouse with baited breath .
1860,0.508,0.21358946084907732,If an animal looses its tail it should shop at a retail store .
2714,0.5,0.7545360161533248,"A fisherman tried boxing , but he only threw hooks ."
1442,0.492,0.2383633029163421,I was arrested after my therapist suggested I take something for my kleptomania .
